company
XBTO Group · Permanent
XR Research
Youmy family Office
Zeliade Systems
axis alternatives
b-cube.ai
capsa · Apprenticeship
finccam · Internship
i-Fihn Consulting - Cabinet de conseil spécialisé en Finance de Marché
i-Fihn Consulting - Cabinet de conseil spécialisé en Finance de Marché · Permanent
neodvisory · Permanent
yuzu🍋 · Permanent
WEBB Traders - Discover Develop Deal
Valuation Model Validation Natixis · Permanent
VTB Capital
Tunis Re · Internship
Tower Research Capital
Tower Research Capital · Full-time
Tower Research Capital · Internship
TradeMachine · Full-time
Trajectoire Capital Group · Permanent
Trium Capital · Internship
UBP
VNCA Consulting · Permanent
UBS Investment Bank
UBS · Contract
Unicredit · Full-time
Université Gustave Eiffel
Université Paris-Saclay
Université Pierre et Marie Curie (Paris VI)
Sia Partners · Permanent
Sia Partners
One Eleven Capital
PwC
PwC · Internship
PwC · Permanent
QUANTEAM (Groupe RAINBOW PARTNERS) · Permanent
QUANTEAM · Permanent
QUANTS
QUANTX ASSET MANAGEMENT Company · Full-time
Quant-Dev · Internship
Quanteam · Internship
Quanteam · Permanent
Quantech Solution Partners · Permanent
Quantfox · Internship
Quantilia
Quantilia · Internship
Quantylix
Quantylix · Internship
PwC France
Proprietary trading firm
Shanghai Luoshu Investment Co. Ltd / 上海洛书投资管理有限公司 · Internship
PrismFP
One Eleven Capital · Permanent
Ostrum Asset Management (ex Natixis Asset Management) · Permanent
Ostrum Asset Management · Full-time
PIMCO
POWEO · Contract
PanAgora Asset Management
Paradex
Paradigm · Permanent
Paradigm.am
Phast Solutions · Permanent
Point72
Politecnico di Milano
Premialab · Permanent
Prime Analytics  · Full-time
Primeo Energie · Internship
Qube Research & Technologies · Contract Part-time
Qube Research & Technologies · Full-time
Qube Research & Technologies · International Corporate and Administration Volunteer
QueensField AI Technologies
SGCIB
"SGCIB, Interest Rate Flow Derivatives Desk"
SOCIETE GENERALE FRANCE · Freelance
SUN ZU Lab · Apprenticeship
SUN ZU Lab · Internship
SUN ZU Lab · Permanent
Santander UK
Santander UK · Full-time
Scientific Beta · Full-time
Scientific Beta · Internship
Scorelab.io · Internship
Scotiabank
Seeyond 
Seeyond · Permanent
Sfil
SGAM AI
"SG 29 Haussmann, SG Private Banking"
SFIL · Internship
Reuters Financial Software
Quod Financial
RCI Bank and Services · Internship
RCI Banque
RCI Banque - Direction de Validation des Modèles · Full-time
Rcube Asset Management
"Refinitiv, an LSEG business · Permanent"
Robeco · Internship
SFIL · Apprenticeship
Rogge Global Partners
Rothesay · Full-time
SCOR Investment Partners SE
SESAMm SAS
SFIL
SFIL (SOCIETE DE FINANCEMENT LOCAL) - Direction des Risques · Full-time
LSEG (London Stock Exchange Group) · Contract
HuiLong Asset Management · Contract
LFIS Capital
BNP Paribas Securities Services · Permanent
Barclays · Internship
Black River Asset Management · Permanent
Blackwood Trading
Bloomberg · Internship
BlueCrest Capital Management · Full-time
Boussard & Gavaudan
Bpifrance · Apprenticeship
Bpifrance · Contract
Bpifrance · Permanent
CAAM
CACEIS · Freelance
CALYON
CDC Ixis Capital MArkets
CDC Marchés 
CEB - Council of Europe Development Bank
Barclays Investment Bank · Full-time
Barclays Corporate & Investment Bank · Internship
Banque de France
Bank of America
BNP Paribas · Freelance
BNP Paribas/ THEAM (Ex Harewood Asset Management)
BNPParibas
BPCE
BRAMHAM GARDENS
Bank for International Settlements – BIS
Bank of America Merrill Lynch · Internship
Banque Populaire du Maroc (Groupe) Inc · Internship
Bank of America Merrill Lynch · Permanent
Bank of America · Full-time
Bank of America · Permanent
BankMed
Banque Internationale de Placement
Banque Populaire du Maroc (Groupe) Inc · Full-time
CEGC – Compagnie Européenne de Garanties et Cautions  · Permanent
CFM-Imperial Institute of Quantitative Finance
CMG Conseil · Internship
Citi
CentraleSupélec · Internship
Cheuvreux
Cheyne Capital Management
Citadel Securities
Citadel · Full-time
Citadel · Internship
Cognizant Consulting France
Carax
Compass Financial Technologies · Permanent
Confidential · Contract
Confédération Nationale du Crédit Mutuel · Internship
Confédération Nationale du Crédit Mutuel · Permanent
CooperNeff Alternative Managers - BNP Paribas Group · Permanent
Covalis Capital
Cargill
Capital Fund Management (CFM) · Self-employed
CMG Conseil · Permanent
CREDIT FONCIER DE FRANCE (GROUPE BPCE) · Full-time
CNCE
CNP Assurances · Internship
COMGEST · Internship
COMGEST · Permanent
COMPAGNIE EUROPENNE DE GARANTIES ET CAUTIONS (CEGC)  · Freelance
CPR Asset Management · Full-time
CSB · Self-employed
Capital Fund Management (CFM) · Permanent
Cabestan Quant Research
Calyon
Camares Capital
Candriam
Candriam · Apprenticeship
Canopee Group · Permanent
BNP Paribas arbitrage
BNP Paribas Securities Services · Apprenticeship
Credit Agricole Asset Management
BNP Paribas Securities Services
AWR Capital
AXA
AXA HEDGING SERVICES
AXA Hedging Services
AXA Investment Managers Chorus
AXA Investment Managers · Contract
AXA Life Invest
AXA · Full-time
AXA-IM
Abu Dhabi Investment Authority (ADIA) · Permanent
Accuracy · Permanent
AdWay Conseil - Cabinet de conseil
AdWay Conseil - Cabinet de conseil · Permanent
Adhara Capital Management
Aether Financial Services
AWALEE CONSULTING by Canopee Group
AWALEE CONSULTING - Canopee Group · Permanent
AWALEE CONSULTING - Canopee Group · Internship
ADATA · Permanent
3V Finance  · Permanent
42 Advisors
80 Technologies Ltd · Internship
ABC Arbitrage · Full-time
ABN AMRO Investment Solutions · Internship
ABN AMRO Investment Solutions · Permanent
ADI Alternative & Derivative Investments
AWALEE CONSULTING - Canopee Group
AFG
ALFI : Financial Markets Consultancy Services  · Permanent
ALFIC
ALTERGAZ · Contract
AMfine Services & Software · Contract
ASM
Aether Financial Services · Internship
"Airbus Helicopters, Inc."
Aix-Marseille School of Economics
BGL BNP Paribas · Permanent
Attijariwafa Bank
Auris Gestion · Full-time
Autorité de contrôle prudentiel et de résolution
Autorité des marchés financiers (AMF) – France
Axa
BCP Capital Market
BIAT
Arquant Capital
BMCE Capital
BNP Paribas Asset Management · Apprenticeship
BNP Paribas Cardif
BNP Paribas Cardif · Permanent
BNP Paribas FRB - Direction des Risques · Full-time
BNP Paribas Fortis
Arval BNP Paribas Group · Permanent
Arfima Trading · Internship
Aix-Marseille School of Economics (AMSE) · Internship
AlphaGrep Securities
Albanki Institute
Algo Trading Prop Shop
Alize Trading · Permanent
Alken Asset Management · Internship
"Alpha-Gen, Paris"
AlphaGen
Altran Engineering Solutions (formerly Pricol Technologies Limited)
Arcelormittal Treasury  · Permanent
Altus Group
Amundi · Contract
Amundi · Full-time
Aragon · Internship
ArcelorMIttal
ArcelorMittal Europe RPS · Full-time
Covéa · Apprenticeship
Credit Agricole CIB
LCL · Self-employed
FRANFINANCE · Permanent
Greenland Capital Management LP
Groupama Asset Management
Groupama Asset Management · Internship
Groupe BPCE · Contract
Groupe BPCE · Full-time
Groupe Burrus Technologies
Groupe Caisse des Dépôts
Groupe Caisse des Dépôts · Apprenticeship
Groupe Caisse des Dépôts · Permanent
HARIS FINANCIAL
"HC Technologies, LLC"
HSBC Asset Management
HSBC Asset Management · Permanent
HSBC France
HSBC · Freelance
Grande Banque Européenne
Global Market Solutions
Global Advisors (Jersey) Limited
Forvis Mazars in the UK · Permanent
Farringdon Capital
Federal Finance Gestion - Asset Management
"Federis Gestion d'Actifs, Investment Solutions team"
Finastra · Internship
Finastra · Permanent
Fonds de Réserve pour les Retraites - FRR · Permanent
G-Research · Full-time
Glassbox Asset Management
GDF SUEZ
GDF SUEZ Trading (ex Gaselys)
GEFIP · Internship
GRADIANT (Groupe RAINBOW PARTNERS) · Permanent
GTS · Permanent
Generali · Internship
HSBC · Self-employed
"HSBC, VaR & Stress Testing Methodologies 														Team"
Hiram Finance · Permanent
Kepler Lansbaki Equities
Jump Trading LLC · Internship
Jump Trading LLC · Permanent
KPMG · Permanent
Kaiko · Internship
Kanopy AM · Internship
Kepler Cheuvreux Solutions
KeyQuant · Internship
JPMorgan Chase · Full-time
Korea Development Bank
Kryptalgo · Internship
LBP AM
LBP AM · Internship
LBPAM
LCH
John Locke Investments
JPMorgan Chase & Co. · Apprenticeship
3 yrs 11 mos
IXIS CIB
Hutchin Hill Capital
INDEP'AM · Full-time
ING · Contract
INGENIANCE
ITI - Telecom Bretagne
ITO33
Impact Institute · Internship
J.P. Morgan · Permanent
In Fine Consulting
Inspection Générale de La Banque Postale · Internship
Institut Louis Bachelier · Contract
Institut National de la Jeunesse et de l'Education Populaire - INJEP · Internship
Ixis Corporate & Investement Bank
J.P. Morgan · Contract
Fairman · Permanent
FRANFINANCE
Credit Agricole Cheuvreux
FLOA · Permanent
Deloitte - Entreprise Risk Services- Capital Markets team
Deloitte Luxembourg · Full-time
Deloitte · Full-time
Deloitte · Internship
Deriv · Internship
Deutsche Asset Management
Deutsche Bank · Contract
Deutsche Bank · Internship
Deutsche Digital Assets · Permanent
Dexia Credit Local
Dexia Credit Local · International Corporate and Administration Volunteer
Dexia Crédit Local
Dexia · Full-time
Dexia · International Corporate and Administration Volunteer
Dexia · Permanent
DFi Labs · Contract Part-time
DFI Labs · Permanent
DESCARTES TRADING
Crédit Agricole Asset Management
Credit Agricole Consumer Finance · Permanent
Credit Agricole Corporate and Investment Bank
Credit Lyonnais
Credit Lyonnais Securities
Credit Suisse
Crédit Agricole
Crédit Agricole Asset Management 
Crédit Mutuel Asset Management · Permanent
Crédit Agricole CIB · Apprenticeship
Crédit Agricole CIB · Full-time
Crédit Agricole Corporate & Investment Bank · Permanent
Crédit Foncier
Crédit Mutuel
Crédit Mutuel Asset Management
Drakai Capital
Drakai Capital · Full-time
Dresdner Kleinwort
European Investment Bank (EIB) · Full-time
Engelhart Commodities Trading Partners
Engineers Gate
Enigma Securities
Epsor · Internship
Euronext Clearing · Permanent
European Central Bank · Contract
EvarInvest AM · Permanent
Efficiency Management Consulting
Exane Asset Management
"ExodusPoint Capital Management, LP · Full-time"
"ExodusPoint Capital Management, LP · Internship"
Ezpada Group · Contract
FD-Reporting
FIS
Ekimetrics
Edgelab
Dresdner Kleinwort Investment Bank
ENGIE Global Energy Management & Sales · Permanent
Dresdner Kleinwort Wasserstein
ECE. Ecole d'ingénieurs. Engineering School.
EDF R&D
ENGIE
ENGIE Global Energy Management & Sales
ENGIE Global Energy Management & Sales · International Corporate and Administration Volunteer
ENGIE Global Markets · Internship
EY · Internship
ENGIE Global energy management solutions
ENGIE Global energy management solutions · Apprenticeship
ENGIE Global energy management solutions · International Corporate and Administration Volunteer
ENGIE · Apprenticeship
ESILV - Ecole Supérieure d'Ingénieurs Léonard de Vinci
EVPlus Technologies · Self-employed
友山基金管理有限公司 · Permanent
